tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,periode_data
2018-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pisangan Baru II,Pisangan Baru,Matraman,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-01,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Tol Prumpung/Jagorawi KM. 2/600,Cipinang Besar Utara,Jatinegara,Kota Administrasi Jakarta Timur,0,150000000,2018-02-01
2018-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Stasiun Sudirman, Jl. Kendal",Menteng,Menteng,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-01,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Kramat Jaya,Tugu Utara,Koja,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Pedongkelan Raya,Cengkareng Timur,Cengkareng,Kota Administrasi Jakarta Barat,1,1215000000,2018-02-01
2018-02-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pinding No. 1,cipedak,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. TB Simatupang,Cilandak Barat,Cilandak,Kota Administrasi Jakarta Selatan,0,25000000,2018-02-01
2018-02-02,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl.Pademangan II Gg.26,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Jatipadang III,Jatipadang,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,5000000,2018-02-01
2018-02-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Pancoran Barat VI No 66,Pancoran,Pancoran,Kota Administrasi Jakarta Selatan,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl.MT.Haryono,Tebet Barat,Tebet,Kota Administrasi Jakarta Selatan,0,6000000,2018-02-01
2018-02-02,Bantuan Operasi,Kesiagaan/Penjagaan,Masyarakat Datang,Jl.Expo Kemayoran,Kemayoran,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl.Prancis,Pergudangan 77",Dadap,Tangerang,Kabupaten Tangerang,0,100000000,2018-02-01
2018-02-02,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Abdurahman,Cakung Timur,Cakung,Kota Administrasi Jakarta Timur,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Gedung Wisma Nusantara 3 MPR/DPR Jl. Jendral Gatot Subroto,Gelora,Tanah Abang,Kota Administrasi Jakarta Pusat,0,300000000,2018-02-01
2018-02-03,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Pulau Tidung,Pulau Tidung,Kep. Seribu Selatan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-03,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Benyamin Sueb,Pademangan Timur,Pademangan,Kota Administrasi Jakarta Utara,0,0,2018-02-01
2018-02-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Sawo Dalam II,Baru,Pasar Rebo,Kota Administrasi Jakarta Timur,1,300000000,2018-02-01
